period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775096258.6312208,1775096288.6312208,17,3,1,1,1,1,0,17,17,0,0.03333333333333333,213.3,16.566666666666666,0.7577166557312012,0.7577166557312012,0.7577166557312012,0.7577166557312012,0.3939393939393939,23825,0,0,19.994498252868652,96.6675836245219,3840,92.42283344268799,0,0,0,1.2370866934458415,6.771395444869995,9,8
2,1775096288.6312208,1775096318.6312208,22,5,0,3,0,0,3,22,8,14,0.1,0.0,30.133333333333333,0.0,0.0,0.0,0.0,0.0,27956,7,0,0.0,100.0,0,0.0,0,0,0,0.07236999273300171,0.24615144729614258,11,11
3,1775096318.6312208,1775096348.6312208,32,2,0,6,0,0,6,32,16,16,0.2,0.0,53.3,0.0,0.0,0.0,0.0,0.0,41938,7,0,0.0,100.0,0,0.0,0,0,0,0.13941992819309235,0.5832936763763428,12,20
4,1775096348.6312208,1775096378.6312208,36,5,0,3,0,0,3,36,7,29,0.1,0.0,62.4,0.0,0.0,0.0,0.0,0.0,48465,7,0,0.0,100.0,0,0.0,0,0,0,0.07962666239057269,0.28229260444641113,6,30
5,1775096378.6312208,1775096408.6312208,37,4,1,19,0,0,19,37,20,17,0.6333333333333333,1578.2,140.33333333333334,34.40137267112732,34.40137267112732,34.40137267112732,34.40137267112732,0.2571041948579161,52964,0,0,57.751370429992676,95.30476663170792,35136,0.0,0,0,0,0.011362206935882569,0.07985186576843262,3,34
6,1775096408.6312208,1775096438.6312208,2,10,17,52,15,15,37,2,2,0,1.7333333333333334,54391.166666666664,579.0666666666667,0.8248605595694648,0.8268649578094482,1.6010514855384825,1.6305437397956848,0.9980774512496566,52964,0,0,124.91988635063171,65.30003156926897,3136,91.75139440430534,28,28,0,0.00013155095717486213,0.0006251335144042969,0,2
7,1775096438.6312208,1775096468.6312208,0,9,0,2,0,0,2,0,0,0,0.06666666666666667,0.0,12.366666666666667,0.0,0.0,0.0,0.0,0.0,52964,0,0,0.0,100.0,0,0.0,31,31,0,0.0,0.0,0,0
8,1775096468.6312208,1775096498.6312208,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52964,0,0,0.0,100.0,0,0.0,40,40,0,0.0,0.0,0,0
9,1775096498.6312208,1775096528.6312208,37,0,23,26,26,26,0,37,37,0,0.8666666666666667,68567.06666666667,294.7,4.232374319663415,5.0711283683776855,5.887991845607758,5.955439627170563,0.8970368525896414,57258,0,0,412.60079979896545,62.828756774867976,211712,57.67625680336585,0,0,0,46.53784063458443,90.5591094493866,1,36
10,1775096528.6312208,1775096558.6312208,30,8,19,57,24,24,33,30,26,4,1.9,69946.9,470.46666666666664,1.9877207374572754,1.2956573963165283,6.467650890350342,6.486126165390015,0.9233890651696364,61414,4,0,337.9494106769562,70.35531485289859,160704,80.12279262542725,0,0,0,0.018461389541625975,0.20897793769836426,2,28
11,1775096558.6312208,1775096588.6312208,33,10,8,29,6,6,23,33,26,7,0.9666666666666667,16173.066666666668,298.43333333333334,1.8582671582698822,1.1911886930465698,6.060800457000729,8.082142047882078,0.9280812879387701,67227,5,0,112.656902551651,91.26690677894177,34880,81.41732841730118,0,0,0,0.1323295682668686,3.1780507564544678,1,32
12,1775096588.6312208,1775096618.6312208,45,3,0,3,0,0,3,45,15,30,0.1,0.0,144.3,0.0,0.0,0.0,0.0,0.0,76838,5,0,0.0,100.0,0,0.0,0,0,0,0.042129834493001304,0.09317374229431152,1,44
13,1775096618.6312208,1775096648.6312208,50,4,1,19,1,1,18,50,24,26,0.6333333333333333,3664.0666666666666,264.1,8.912394046783447,8.912394046783447,8.912394046783447,8.912394046783447,1.0,84362,6,0,26.789169549942017,98.34634755864555,0,10.876059532165527,0,0,0,0.04683262825012207,0.43715810775756836,1,49
14,1775096648.6312208,1775096678.6312208,51,7,1,25,1,1,24,51,24,27,0.8333333333333334,2645.5666666666666,194.93333333333334,3.8420417308807373,3.8420417308807373,3.8420417308807373,3.8420417308807373,0.9967741935483871,91901,4,0,28.99061942100525,98.33387244706866,256,61.57958269119263,0,0,0,0.03127808570861816,0.3512411117553711,1,50
