period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775085408.7626832,1775085438.7626832,17,3,0,0,0,0,0,17,17,0,0.0,0.0,18.133333333333333,0.0,0.0,0.0,0.0,0.0,23825,0,0,0.0,100.0,0,0.0,0,0,0,1.2837063564973719,6.599749565124512,7,10
2,1775085438.7626832,1775085468.7626832,17,3,0,3,0,0,3,17,3,14,0.1,0.0,30.666666666666668,0.0,0.0,0.0,0.0,0.0,23892,0,0,0.0,100.0,0,0.0,0,0,0,6.842613220214844e-05,0.00010180473327636719,5,12
3,1775085468.7626832,1775085498.7626832,19,1,8,17,6,6,11,19,13,6,0.5666666666666667,29569.133333333335,134.76666666666668,15.970027950074938,2.5874099731445312,46.76755104064941,52.9080558013916,0.9588596174666185,30196,0,0,224.96991419792175,62.505014300346375,36480,0.0,0,0,0,0.011138276049965307,0.09558367729187012,1,18
4,1775085498.7626832,1775085528.7626832,0,3,13,30,11,11,19,0,0,0,1.0,47275.3,347.9,0.8135697501046317,0.6443804502487183,1.6012590646743774,1.6666991853713988,0.99083604189238,30196,0,0,90.10052704811096,0.0,12992,91.86430249895368,17,17,0,0.003409862518310547,0.03308916091918945,0,0
5,1775085528.7626832,1775085558.7626832,13,5,14,27,27,27,0,13,13,0,0.9,78337.46666666666,317.73333333333335,0.7662653834731491,0.7301583290100098,1.3409173488616941,1.7237389278411859,0.95894739709608,31215,0,0,126.81742691993713,76.51529131112275,96448,92.33734616526851,0,0,0,12.81101098060608,30.19908833503723,0,13
6,1775085558.7626832,1775085588.7626832,16,4,14,33,21,21,12,16,15,1,1.1,62333.7,306.4,3.0537591775258384,1.00333571434021,8.626732587814331,9.062299108505249,0.9670638181320186,37244,3,0,220.28484725952148,63.28585879007975,61568,69.46240822474161,0,0,0,0.015442893311784073,0.10699820518493652,4,12
7,1775085588.7626832,1775085618.7626832,18,7,12,28,15,15,13,18,15,3,0.9333333333333333,52807.2,275.5,3.519810054037306,4.209694504737854,6.458546066284179,6.710776977539062,0.8169731258840169,41686,6,0,238.5455219745636,68.19393040339152,289856,64.80189945962694,0,0,0,0.03228115240732829,0.3669614791870117,4,14
8,1775085618.7626832,1775085648.7626832,26,5,0,3,0,0,3,26,11,15,0.1,0.0,116.53333333333333,0.0,0.0,0.0,0.0,0.0,50420,6,0,0.0,100.0,0,0.0,0,0,0,0.11743285439231178,0.3585636615753174,1,25
9,1775085648.7626832,1775085678.7626832,25,10,17,42,21,21,21,25,20,5,1.4,70597.76666666666,341.53333333333336,3.523153771053661,3.19928240776062,7.569383311271666,8.077281322479248,0.9186591300668017,54106,5,0,296.5868399143219,71.7536342938741,172224,64.76846228946339,0,0,0,0.018996261968845275,0.20914149284362793,1,24
10,1775085678.7626832,1775085708.7626832,30,10,3,16,2,2,14,30,19,11,0.5333333333333333,8895.7,181.5,6.2578825155893965,3.4262661933898926,13.064271879196166,13.92098349571228,0.9985604606525912,63106,5,0,68.48192358016968,94.29317303498586,384,37.421174844106034,0,0,0,0.05524392355056036,0.31326723098754883,4,26
11,1775085708.7626832,1775085738.7626832,37,7,6,22,5,5,17,37,24,13,0.7333333333333333,19976.333333333332,234.66666666666666,10.295242627461752,10.566270232200623,15.386118054389954,15.432098221778869,0.771309549241615,69646,4,0,142.73623967170715,89.18664850971916,137024,0.0,0,0,0,0.19692644579657193,4.338563680648804,1,36
12,1775085738.7626832,1775085768.7626832,42,5,12,34,11,11,23,42,28,14,1.1333333333333333,31002.7,363.3333333333333,0.899254580338796,0.6527131795883179,2.2194777607917775,2.932263967990876,0.9597329295154186,75913,3,0,197.09338068962097,86.02174605038148,37440,91.00745419661203,0,0,0,0.019704623100085136,0.16877055168151855,5,37
13,1775085768.7626832,1775085798.7626832,42,8,1,12,0,0,12,42,13,29,0.4,2502.9,143.03333333333333,5.838329792022705,5.838329792022705,5.838329792022705,5.838329792022705,0.9965899403239556,81869,3,0,32.400904178619385,97.83993972142537,256,41.61670207977295,0,0,0,0.013275953439565806,0.060151100158691406,1,41
14,1775085798.7626832,1775085828.7626832,42,11,13,40,14,14,26,42,25,17,1.3333333333333333,40256.23333333333,427.3,1.9428579807281494,0.6354024410247803,6.421218037605281,8.808575081825254,0.9454545454545454,86233,3,0,206.08826756477356,87.03847373806455,65856,80.5714201927185,0,0,0,0.02739558464441544,0.20512175559997559,1,41
15,1775085828.7626832,1775085858.7626832,40,17,12,44,15,15,29,40,27,13,1.4666666666666666,30494.333333333332,454.0,0.9917964299519857,0.5429847240447998,3.4973689317703225,4.641558670997618,0.9773220410163085,92741,5,0,195.55333948135376,88.56413219407287,20736,90.08203570048015,0,0,0,0.01887878349849156,0.3628358840942383,4,36
16,1775085858.7626832,1775085888.7626832,50,11,1,9,0,0,9,50,19,31,0.3,4202.233333333334,93.5,3.9310312271118164,3.9310312271118164,3.9310312271118164,3.9310312271118164,1.0,110282,5,0,3.947167158126831,99.78430780556684,0,60.689687728881836,0,0,0,0.0913935335058915,0.34139490127563477,14,36
17,1775085888.7626832,1775085918.7626832,62,5,0,7,0,0,7,62,19,43,0.23333333333333334,0.0,105.6,0.0,0.0,0.0,0.0,0.0,121219,6,0,0.0,100.0,0,0.0,0,0,0,0.053726685674566975,0.2373650074005127,18,44
18,1775085918.7626832,1775085948.7626832,69,3,0,12,0,0,12,69,19,50,0.4,0.0,111.3,0.0,0.0,0.0,0.0,0.0,129377,6,0,0.0,100.0,0,0.0,0,0,0,0.4862505762200606,3.6160762310028076,30,39
19,1775085948.7626832,1775085978.7626832,74,3,0,12,0,0,12,74,17,57,0.4,0.0,154.73333333333332,0.0,0.0,0.0,0.0,0.0,137907,5,0,0.0,100.0,0,0.0,0,0,0,0.047598796732285446,0.417081356048584,30,44
20,1775085978.7626832,1775086008.7626832,76,1,1,19,0,0,19,76,21,55,0.6333333333333333,5964.0,155.6,47.824278593063354,47.824278593063354,47.824278593063354,47.824278593063354,1.0,142751,0,0,47.82602286338806,97.92960939985333,0,0.0,0,0,0,0.009002969378516787,0.08506011962890625,34,42
21,1775086008.7626832,1775086038.7626832,56,5,11,30,0,0,30,56,10,46,1.0,31559.466666666667,393.1666666666667,48.40143684907393,49.77837586402893,56.55448615550995,57.47880551815033,0.9787665674871517,142751,0,0,652.2545142173767,64.35767681872258,20096,0.0,16,16,0,0.0012811660766601563,0.01191401481628418,12,44
22,1775086038.7626832,1775086068.7626832,11,25,21,58,9,9,49,11,4,7,1.9333333333333333,75186.73333333334,836.9,15.187201806477137,18.079712390899658,31.350951194763184,38.95373172760011,1.0,142751,0,0,514.9509906768799,52.319352715103705,0,0.0,39,39,0,0.0005181019122783954,0.005379915237426758,0,11
23,1775086068.7626832,1775086098.7626832,0,19,0,11,0,0,11,0,0,0,0.36666666666666664,0.0,276.93333333333334,0.0,0.0,0.0,0.0,0.0,142751,0,0,0.0,100.0,0,0.0,55,55,0,0.0,0.0,0,0
24,1775086098.7626832,1775086128.7626832,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142751,0,0,0.0,100.0,0,0.0,72,72,0,0.0,0.0,0,0
25,1775086128.7626832,1775086158.7626832,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142751,0,0,0.0,100.0,0,0.0,73,73,0,0.0,0.0,0,0
26,1775086158.7626832,1775086188.7626832,71,1,8,8,8,8,0,71,71,0,0.26666666666666666,27741.366666666665,192.8,2.561369389295578,1.1631959676742554,7.591189205646515,7.704937136173248,0.9904608046772828,146628,0,0,130.92903900146484,93.93847041659885,7936,74.38630610704422,0,0,0,94.68001462206428,150.46342039108276,25,46
27,1775086188.7626832,1775086218.7626832,74,4,4,30,0,0,30,74,33,41,1.0,14822.133333333333,255.63333333333333,14.269675612449646,15.387731432914734,16.315991961956023,16.386861531734468,0.5718399078606392,154481,5,0,117.96719455718994,94.95866689926538,190336,0.0,0,0,0,0.026466759768399326,0.37545108795166016,32,42
28,1775086218.7626832,1775086248.7626832,70,8,13,34,0,0,34,70,30,40,1.1333333333333333,41573.76666666667,363.46666666666664,31.32655512369596,32.74010467529297,34.597079849243165,34.689505882263184,0.9837260639663227,156048,0,0,599.6807231903076,74.37261866708087,20288,0.0,0,0,0,0.17282466888427733,4.778055906295776,24,46
29,1775086248.7626832,1775086278.7626832,26,13,27,69,11,11,58,26,14,12,2.3,101759.0,617.1,13.776362895965576,14.142223119735718,24.751010870933534,25.728408286571504,0.9939390126253094,156048,0,0,792.334018945694,32.27914367985522,18496,0.0,35,35,0,0.002656993865966797,0.05491304397583008,0,26
30,1775086278.7626832,1775086308.7626832,2,17,6,31,6,6,25,2,1,1,1.0333333333333334,25444.866666666665,665.9333333333333,0.8740055163701376,0.733039379119873,1.5699464678764343,1.67904189825058,1.0,156048,0,0,107.69336891174316,81.10642650671173,0,91.25994483629863,54,54,0,0.00037418093000139507,0.0013568401336669922,0,2
31,1775086308.7626832,1775086338.7626832,0,10,0,2,0,0,2,0,0,0,0.06666666666666667,0.0,54.03333333333333,0.0,0.0,0.0,0.0,0.0,155983,0,0,0.0,100.0,0,0.0,63,63,0,0.0,0.0,0,0
32,1775086338.7626832,1775086368.7626832,71,2,4,4,4,4,0,71,71,0,0.13333333333333333,11751.6,57.233333333333334,0.5506683588027954,0.5473456382751465,0.7460951209068297,0.7710305094718932,0.992010168875976,161950,0,0,20.561121225357056,99.06113601710699,2816,94.49331641197205,0,0,0,61.05392785072327,90.49212145805359,34,37
33,1775086368.7626832,1775086398.7626832,77,3,7,26,0,0,26,77,32,45,0.8666666666666667,24262.966666666667,249.46666666666667,18.116449696677073,17.847110271453857,20.94255485534668,21.82545497894287,0.6372911169744943,164897,7,0,253.06742978096008,89.45552375912666,263936,0.0,0,0,0,0.051878102123737335,0.37758517265319824,29,48
34,1775086398.7626832,1775086428.7626832,75,5,6,30,0,0,30,75,28,47,1.0,20560.5,276.1666666666667,31.795939286549885,29.82010042667389,39.281250178813934,41.669635045528416,0.9997924019099025,165015,0,0,260.530122756958,89.14457821846008,128,0.0,0,0,0,0.004032892840249198,0.09465336799621582,28,47
35,1775086428.7626832,1775086458.7626832,12,20,47,90,22,22,68,12,5,7,3.0,144945.96666666667,735.5666666666667,13.285125582825904,11.271559238433838,30.2355979681015,30.824291944503784,0.9982037426935025,162205,0,0,1211.2127358913422,0.0,7808,0.0,48,48,0,0.02359224248815466,0.0953073501586914,1,11
36,1775086458.7626832,1775086488.7626832,2,16,6,15,5,5,10,2,0,2,0.5,23177.9,470.53333333333336,0.5925554434458414,0.655004620552063,0.7757643461227417,0.7915504217147827,1.0,159946,0,0,81.12729692459106,84.9764264954461,0,94.07444556554158,61,61,0,0.00036935806274414064,0.0014412403106689453,0,2
37,1775086488.7626832,1775086518.7626832,0,3,0,2,0,0,2,0,0,0,0.06666666666666667,0.0,13.666666666666666,0.0,0.0,0.0,0.0,0.0,157640,0,0,0.0,100.0,0,0.0,76,76,0,0.0,0.0,0,0
