timestamp,user_id,event_type,trace_id,details
1775085408.8030298,User-001,started,trace_0119,"188 requests remaining (advanced 44%), 139,957 tokens at start"
1775085408.8970597,User-002,started,trace_0055,"490 requests remaining (advanced 34%), 154,326 tokens at start"
1775085408.9573734,User-003,started,trace_0204,"67 requests remaining (advanced 28%), 34,326 tokens at start"
1775085409.0096674,User-004,started,trace_0422,"4 requests remaining (advanced 33%), 6,399 tokens at start"
1775085409.0704775,User-005,started,trace_0307,"12 requests remaining (advanced 57%), 37,432 tokens at start"
1775085409.1243877,User-006,started,trace_0514,"3 requests remaining (advanced 50%), 12,207 tokens at start"
1775085409.2007604,User-007,started,trace_0296,"20 requests remaining (advanced 52%), 89,388 tokens at start"
1775085409.2844367,User-008,started,trace_0336,"74 requests remaining (advanced 49%), 108,055 tokens at start"
1775085409.3708088,User-009,started,trace_0520,"179 requests remaining (advanced 52%), 116,671 tokens at start"
1775085409.4379187,User-010,started,trace_0071,"15 requests remaining (advanced 29%), 57,966 tokens at start"
1775085409.5232909,User-011,started,trace_0219,"42 requests remaining (advanced 48%), 126,004 tokens at start"
1775085409.6042588,User-012,started,trace_0176,"98 requests remaining (advanced 39%), 110,476 tokens at start"
1775085409.6959798,User-013,started,trace_0244,"631 requests remaining (advanced 44%), 149,774 tokens at start"
1775085409.79552,User-014,started,trace_0057,"246 requests remaining (advanced 40%), 179,618 tokens at start"
1775085409.8691194,User-015,started,trace_0243,"48 requests remaining (advanced 52%), 84,267 tokens at start"
1775085409.944756,User-016,started,trace_0237,"176 requests remaining (advanced 49%), 81,388 tokens at start"
1775085410.0193229,User-017,started,trace_0373,"10 requests remaining (advanced 55%), 78,947 tokens at start"
1775085410.100781,User-018,started,trace_0521,"10 requests remaining (advanced 38%), 109,716 tokens at start"
1775085410.1730368,User-019,started,trace_0371,"16 requests remaining (advanced 33%), 77,148 tokens at start"
1775085410.2569315,User-020,started,trace_0100,"150 requests remaining (advanced 46%), 119,477 tokens at start"
1775085531.700666,User-006,completed,trace_0514,"6/6 requests, 42.2% cache hit"
1775085537.7173502,User-004,completed,trace_0422,"6/6 requests, 52.0% cache hit"
1775085558.848147,User-021,started,trace_0159,"70 requests remaining (advanced 49%), 142,046 tokens at start"
1775085558.9240806,User-022,started,trace_0193,"76 requests remaining (advanced 44%), 71,451 tokens at start"
1775085558.9795966,User-023,started,trace_0361,"5 requests remaining (advanced 17%), 12,720 tokens at start"
1775085562.8384044,User-014,truncated,trace_0057,"164/408 requests, 99.9% cache hit"
1775085588.8413134,User-024,started,trace_0434,"3 requests remaining (advanced 50%), 12,236 tokens at start"
1775085588.9007795,User-025,started,trace_0239,"34 requests remaining (advanced 29%), 21,910 tokens at start"
1775085588.9602602,User-026,started,trace_0104,"5 requests remaining (advanced 29%), 21,796 tokens at start"
1775085589.03206,User-027,started,trace_0332,"118 requests remaining (advanced 37%), 65,026 tokens at start"
1775085589.1287243,User-028,started,trace_0519,"4 requests remaining (advanced 33%), 145,196 tokens at start"
1775085589.2019634,User-029,started,trace_0157,"120 requests remaining (advanced 33%), 72,889 tokens at start"
1775085609.1917686,User-023,completed,trace_0361,"6/6 requests, 37.2% cache hit"
1775085618.8447292,User-030,started,trace_0298,"168 requests remaining (advanced 50%), 139,660 tokens at start"
1775085618.9106402,User-031,started,trace_0007,"198 requests remaining (advanced 31%), 48,043 tokens at start"
1775085619.0026565,User-032,started,trace_0513,"58 requests remaining (advanced 58%), 138,311 tokens at start"
1775085619.0693371,User-033,started,trace_0203,"34 requests remaining (advanced 39%), 46,003 tokens at start"
1775085619.1424985,User-034,started,trace_0217,"242 requests remaining (advanced 38%), 74,406 tokens at start"
1775085619.2153976,User-035,started,trace_0052,"122 requests remaining (advanced 57%), 74,411 tokens at start"
1775085648.8125663,User-036,started,trace_0268,"4 requests remaining (advanced 50%), 55,712 tokens at start"
1775085648.8688014,User-037,started,trace_0380,"10 requests remaining (advanced 38%), 13,198 tokens at start"
1775085648.9581842,User-038,started,trace_0138,"143 requests remaining (advanced 46%), 110,019 tokens at start"
1775085649.0565956,User-039,started,trace_0516,"4 requests remaining (advanced 33%), 137,198 tokens at start"
1775085649.1280777,User-040,started,trace_0398,"23 requests remaining (advanced 52%), 67,698 tokens at start"
1775085658.5327609,User-024,completed,trace_0434,"6/6 requests, 24.2% cache hit"
1775085678.8600023,User-041,started,trace_0067,"117 requests remaining (advanced 52%), 123,818 tokens at start"
1775085678.9300723,User-042,started,trace_0394,"10 requests remaining (advanced 29%), 59,664 tokens at start"
1775085678.9991276,User-043,started,trace_0432,"180 requests remaining (advanced 42%), 58,635 tokens at start"
1775085679.062698,User-044,started,trace_0389,"23 requests remaining (advanced 47%), 40,293 tokens at start"
1775085679.1129766,User-045,started,trace_0458,"48 requests, 15,157 initial tokens"
1775085708.8877535,User-046,started,trace_0247,"61 requests remaining (advanced 53%), 45,020 tokens at start"
1775085708.9746754,User-047,started,trace_0294,"64 requests remaining (advanced 52%), 94,757 tokens at start"
1775085709.0803523,User-048,started,trace_0431,"10 requests remaining (advanced 38%), 158,210 tokens at start"
1775085709.1419857,User-049,started,trace_0099,"13 requests remaining (advanced 41%), 29,729 tokens at start"
1775085738.8289428,User-050,started,trace_0354,"5 requests remaining (advanced 17%), 12,169 tokens at start"
1775085738.9180412,User-051,started,trace_0105,"60 requests remaining (advanced 48%), 79,367 tokens at start"
1775085738.9910374,User-052,started,trace_0081,"90 requests remaining (advanced 38%), 65,685 tokens at start"
1775085768.883739,User-053,started,trace_0020,"342 requests remaining (advanced 30%), 168,122 tokens at start"
1775085768.980178,User-054,started,trace_0086,"176 requests remaining (advanced 41%), 149,163 tokens at start"
1775085769.050885,User-055,started,trace_0269,"28 requests remaining (advanced 39%), 59,969 tokens at start"
1775085798.879039,User-056,started,trace_0428,"109 requests remaining (advanced 40%), 13,643 tokens at start"
1775085798.975002,User-057,started,trace_0013,"38 requests remaining (advanced 30%), 124,933 tokens at start"
1775085799.076815,User-058,started,trace_0376,"4 requests remaining (advanced 50%), 154,005 tokens at start"
1775085801.6032364,User-039,completed,trace_0516,"6/6 requests, 78.0% cache hit"
1775085828.8903134,User-059,started,trace_0261,"14 requests remaining (advanced 52%), 63,720 tokens at start"
1775085828.9864438,User-060,started,trace_0062,"85 requests remaining (advanced 35%), 118,177 tokens at start"
1775085829.072157,User-061,started,trace_0154,"62 requests remaining (advanced 52%), 103,161 tokens at start"
1775085829.1423323,User-062,started,trace_0096,"93 requests remaining (advanced 41%), 58,909 tokens at start"
1775085829.2277684,User-063,started,trace_0245,"45 requests remaining (advanced 36%), 113,918 tokens at start"
1775085834.487737,User-028,completed,trace_0519,"6/6 requests, 98.2% cache hit"
1775085858.813983,User-064,started,trace_0252,"745 requests remaining (advanced 35%), 83,824 tokens at start"
1775085858.9143746,User-065,started,trace_0316,"44 requests remaining (advanced 50%), 136,475 tokens at start"
1775085859.019307,User-066,started,trace_0388,"144 requests remaining (advanced 50%), 145,614 tokens at start"
1775085859.1079428,User-067,started,trace_0173,"153 requests remaining (advanced 50%), 100,986 tokens at start"
1775085859.197669,User-068,started,trace_0274,"35 requests remaining (advanced 57%), 124,802 tokens at start"
1775085879.490258,User-050,completed,trace_0354,"6/6 requests, 47.7% cache hit"
1775085888.8256114,User-069,started,trace_0170,"95 requests remaining (advanced 34%), 53,543 tokens at start"
1775085888.9166973,User-070,started,trace_0188,"60 requests remaining (advanced 45%), 103,501 tokens at start"
1775085888.9988956,User-071,started,trace_0123,"121 requests remaining (advanced 43%), 99,421 tokens at start"
1775085889.049501,User-072,started,trace_0014,"787 requests, 89,509 initial tokens"
1775085889.1051102,User-073,started,trace_0308,"5 requests remaining (advanced 17%), 13,182 tokens at start"
1775085889.2042184,User-074,started,trace_0216,"185 requests remaining (advanced 52%), 152,101 tokens at start"
1775085918.912254,User-075,started,trace_0227,"68 requests remaining (advanced 46%), 99,150 tokens at start"
1775085918.9904642,User-076,started,trace_0202,"69 requests remaining (advanced 58%), 84,972 tokens at start"
1775085919.0701013,User-077,started,trace_0185,"190 requests remaining (advanced 39%), 94,543 tokens at start"
1775085919.152304,User-078,started,trace_0409,"21 requests remaining (advanced 32%), 102,839 tokens at start"
1775085919.2297258,User-079,started,trace_0082,"63 requests remaining (advanced 38%), 70,885 tokens at start"
1775085919.2952414,User-080,started,trace_0277,"78 requests remaining (advanced 31%), 42,994 tokens at start"
1775085930.836322,User-037,completed,trace_0380,"16/16 requests, 87.7% cache hit"
1775085948.870646,User-081,started,trace_0478,"5 requests remaining (advanced 44%), 178,920 tokens at start"
1775085948.9614947,User-082,started,trace_0447,"12 requests remaining (advanced 50%), 129,307 tokens at start"
1775085949.0549881,User-083,started,trace_0029,"194 requests remaining (advanced 36%), 137,920 tokens at start"
1775085949.1423638,User-084,started,trace_0141,"91 requests remaining (advanced 52%), 95,067 tokens at start"
1775085949.2233949,User-085,started,trace_0179,"133 requests remaining (advanced 34%), 96,234 tokens at start"
1775086050.1828253,User-017,completed,trace_0373,"22/22 requests, 98.8% cache hit"
