period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775088219.9754224,1775088249.9754224,17,3,1,1,1,1,0,17,17,0,0.03333333333333333,213.3,18.0,0.8543996810913086,0.8543996810913086,0.8543996810913086,0.8543996810913086,0.3939393939393939,23825,0,0,17.9770724773407,97.00382125377655,3840,91.45600318908691,0,0,0,1.2922993898391724,7.263755798339844,9,8
2,1775088249.9754224,1775088279.9754224,22,5,0,2,0,0,2,22,7,15,0.06666666666666667,0.0,29.6,0.0,0.0,0.0,0.0,0.0,27956,7,0,0.0,100.0,0,0.0,0,0,0,0.09294475827898298,0.26146793365478516,10,12
3,1775088279.9754224,1775088309.9754224,32,2,0,2,0,0,2,32,12,20,0.06666666666666667,0.0,54.86666666666667,0.0,0.0,0.0,0.0,0.0,41795,7,0,0.0,100.0,0,0.0,0,0,0,0.14550809065500894,0.5257501602172852,8,24
4,1775088309.9754224,1775088339.9754224,36,5,0,8,0,0,8,36,12,24,0.26666666666666666,0.0,63.733333333333334,0.0,0.0,0.0,0.0,0.0,48313,7,0,0.0,100.0,0,0.0,0,0,0,0.040999770164489746,0.30437445640563965,11,25
5,1775088339.9754224,1775088369.9754224,38,3,3,17,1,1,16,38,18,20,0.5666666666666667,8255.833333333334,144.13333333333333,23.003663698832195,33.14217686653137,34.39292826652527,34.50410616874695,0.8580661840744571,52915,0,0,115.78955006599426,90.58621544178908,35136,0.0,0,0,0,0.015886432246158,0.08503079414367676,1,37
6,1775088369.9754224,1775088399.9754224,2,10,14,52,15,15,37,2,2,0,1.7333333333333334,50025.333333333336,522.5333333333333,0.8980097293853759,0.6373393535614014,1.8993403434753418,1.9242656135559082,0.9978243249008149,52915,0,0,99.9040162563324,72.248884373241,3264,91.01990270614625,28,28,0,0.0006466507911682129,0.006161689758300781,0,2
7,1775088399.9754224,1775088429.9754224,0,9,0,2,0,0,2,0,0,0,0.06666666666666667,0.0,5.533333333333333,0.0,0.0,0.0,0.0,0.0,52915,0,0,0.0,100.0,0,0.0,31,31,0,0.0,0.0,0,0
8,1775088429.9754224,1775088459.9754224,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52915,0,0,0.0,100.0,0,0.0,40,40,0,0.0,0.0,0,0
9,1775088459.9754224,1775088489.9754224,37,0,22,26,26,26,0,37,37,0,0.8666666666666667,67214.03333333334,296.3,3.091000951253451,3.517822504043579,5.335829019546509,5.869325578212738,0.8976915505032864,57243,0,0,395.1797275543213,64.39822274285393,206208,69.08999048746549,0,0,0,46.534501161426306,90.38244724273682,0,37
10,1775088489.9754224,1775088519.9754224,31,8,19,57,23,23,34,31,28,3,1.9,62262.066666666666,441.03333333333336,2.623246887455816,1.683229684829712,7.392674851417538,7.641385712623596,0.9149614395886889,62097,5,0,336.3822956085205,71.2493764437162,158784,73.76753112544185,0,0,0,0.02671986935185451,0.2797276973724365,1,30
11,1775088519.9754224,1775088549.9754224,32,12,9,35,10,10,25,32,26,6,1.1666666666666667,25005.8,451.56666666666666,6.0614917711778125,8.185529947280884,11.871547937393188,11.874190378189088,0.9557053853375438,67466,5,0,140.72881078720093,89.33872645551509,33216,39.385082288221874,0,0,0,0.2906622025701735,4.4790873527526855,2,30
