timestamp,user_id,event_type,trace_id,details
1775088220.0236633,User-001,started,trace_0119,"188 requests remaining (advanced 44%), 139,957 tokens at start"
1775088220.1259072,User-002,started,trace_0055,"490 requests remaining (advanced 34%), 154,326 tokens at start"
1775088220.187306,User-003,started,trace_0204,"67 requests remaining (advanced 28%), 34,326 tokens at start"
1775088220.239762,User-004,started,trace_0422,"4 requests remaining (advanced 33%), 6,399 tokens at start"
1775088220.3008494,User-005,started,trace_0307,"12 requests remaining (advanced 57%), 37,432 tokens at start"
1775088220.3550885,User-006,started,trace_0514,"3 requests remaining (advanced 50%), 12,207 tokens at start"
1775088220.4305313,User-007,started,trace_0296,"20 requests remaining (advanced 52%), 89,388 tokens at start"
1775088220.5106735,User-008,started,trace_0336,"74 requests remaining (advanced 49%), 108,055 tokens at start"
1775088220.5939317,User-009,started,trace_0520,"179 requests remaining (advanced 52%), 116,671 tokens at start"
1775088220.6605217,User-010,started,trace_0071,"15 requests remaining (advanced 29%), 57,966 tokens at start"
1775088220.7453637,User-011,started,trace_0219,"42 requests remaining (advanced 48%), 126,004 tokens at start"
1775088220.8263776,User-012,started,trace_0176,"98 requests remaining (advanced 39%), 110,476 tokens at start"
1775088220.9204025,User-013,started,trace_0244,"631 requests remaining (advanced 44%), 149,774 tokens at start"
1775088221.021727,User-014,started,trace_0057,"246 requests remaining (advanced 40%), 179,618 tokens at start"
1775088221.0954983,User-015,started,trace_0243,"48 requests remaining (advanced 52%), 84,267 tokens at start"
1775088221.1682146,User-016,started,trace_0237,"176 requests remaining (advanced 49%), 81,388 tokens at start"
1775088221.248749,User-017,started,trace_0373,"10 requests remaining (advanced 55%), 78,947 tokens at start"
1775088221.3322427,User-018,started,trace_0521,"10 requests remaining (advanced 38%), 109,716 tokens at start"
1775088221.4044008,User-019,started,trace_0371,"16 requests remaining (advanced 33%), 77,148 tokens at start"
1775088221.4882512,User-020,started,trace_0100,"150 requests remaining (advanced 46%), 119,477 tokens at start"
1775088250.0615857,User-021,started,trace_0159,"70 requests remaining (advanced 49%), 142,046 tokens at start"
1775088250.1337051,User-022,started,trace_0193,"76 requests remaining (advanced 44%), 71,451 tokens at start"
1775088250.1883533,User-023,started,trace_0361,"5 requests remaining (advanced 17%), 12,720 tokens at start"
