period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775075919.3359997,1775075949.3359997,17,3,0,0,0,0,0,17,17,0,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,23825,0,0,0.0,100.0,0,0.0,0,0,0,1.3184352762558882,6.786420822143555,8,9
2,1775075949.3359997,1775075979.3359997,17,3,0,3,0,0,3,17,3,14,0.1,0.0,32.46666666666667,0.0,0.0,0.0,0.0,0.0,23892,0,0,0.0,100.0,0,0.0,0,0,0,0.00010800361633300781,0.00012493133544921875,5,12
3,1775075979.3359997,1775076009.3359997,17,3,14,31,16,16,15,17,15,2,1.0333333333333334,60716.6,255.4,10.776379799842834,1.9156991243362427,50.23854821920395,51.11563318967819,0.9666783831282952,30418,0,0,374.00657653808594,37.66557057698567,60672,0.0,0,0,0,0.00607005242378481,0.06548357009887695,0,17
4,1775076009.3359997,1775076039.3359997,12,6,12,48,31,31,17,12,12,0,1.6,106266.23333333334,580.9666666666667,0.7851612875538487,0.6834695339202881,1.6666854619979858,1.8633080959320067,0.9752394722573648,31163,0,0,176.00326418876648,67.4068029280062,78912,92.14838712446152,0,0,0,0.01223962805991949,0.0962057113647461,2,10
5,1775076039.3359997,1775076069.3359997,12,5,11,34,22,22,12,12,12,0,1.1333333333333333,90911.43333333333,378.03333333333336,1.139229416847229,0.7418310642242432,4.80534064769744,5.667381701469421,0.9376598990728787,33552,0,0,189.23880743980408,62.89435148239135,169984,88.60770583152771,0,0,0,0.01580266271318708,0.10006475448608398,1,11
6,1775076069.3359997,1775076099.3359997,12,6,7,20,13,12,8,12,8,4,0.6666666666666666,46679.86666666667,249.66666666666666,3.109097664172833,2.590066909790039,6.845150566101073,7.312592620849609,0.8106514285714286,38263,1,0,121.16194438934326,77.56260289086237,265088,68.90902335827167,0,0,0,0.01613518169948033,0.09895849227905273,4,8
7,1775076099.3359997,1775076129.3359997,12,7,11,31,19,19,12,12,11,1,1.0333333333333334,82310.23333333334,355.4,2.504474287447722,0.8828263282775879,5.920691967010498,6.0683718156814574,0.8800456277707205,39753,1,0,237.24927258491516,58.3773205991377,296128,74.95525712552278,0,0,0,0.018398594856262208,0.1509411334991455,1,11
8,1775076129.3359997,1775076159.3359997,11,11,15,46,35,35,11,11,10,1,1.5333333333333334,73323.03333333334,479.1333333333333,0.7601009938451979,0.6556719541549683,1.5486952066421509,2.635768210887907,0.9338631269467005,42950,5,0,244.35116004943848,62.97709696220629,145408,92.39899006154802,0,0,0,0.030085261662801108,0.25539493560791016,0,11
9,1775076159.3359997,1775076189.3359997,22,7,3,7,3,3,4,22,15,7,0.23333333333333334,6198.6,122.1,5.383175849914551,3.2638440132141113,10.59444634914398,11.24605544567108,0.9693526170798898,53321,7,0,75.31349110603333,91.34327688436399,5696,46.16824150085449,0,0,0,0.10188828574286567,0.5187768936157227,6,16
10,1775076189.3359997,1775076219.3359997,23,10,17,37,19,19,18,23,19,4,1.2333333333333334,70693.23333333334,327.6666666666667,2.969986610412598,1.2715349197387695,7.275207567214963,8.33739523887634,0.8549565322385897,59579,4,0,316.9544460773468,67.9843993861266,307520,70.30013389587403,0,0,0,0.1784260398463199,3.6098544597625732,5,18
11,1775076219.3359997,1775076249.3359997,31,7,5,9,3,3,6,31,14,17,0.3,16571.166666666668,174.03333333333333,6.797247807184855,6.277180314064026,13.112635791301727,14.825670850276948,0.7165121071612571,68686,5,0,147.56869983673096,87.0553772073043,140864,32.02752192815145,0,0,0,0.05790640326107249,0.25336599349975586,4,27
12,1775076249.3359997,1775076279.3359997,35,5,15,40,19,19,21,35,25,10,1.3333333333333333,47542.96666666667,492.0,2.172730879350142,1.0252716541290283,5.537335073947906,6.155255877971649,0.7539953312982582,71378,3,0,276.69389152526855,76.94217570622762,350720,78.27269120649858,0,0,0,0.012679419734261253,0.13326215744018555,3,32
