period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775083083.8770206,1775083113.8770206,17,3,2,2,2,2,0,17,17,0,0.06666666666666667,620.2,19.233333333333334,0.8823773860931396,0.8823773860931396,0.9474207401275635,0.95320237159729,0.2698961937716263,23892,0,0,29.7848117351532,95.0358647108078,13504,91.1762261390686,0,0,0,1.1595426986092014,6.689670562744141,10,7
2,1775083113.8770206,1775083143.8770206,22,5,0,2,0,0,2,22,7,15,0.06666666666666667,0.0,31.9,0.0,0.0,0.0,0.0,0.0,27956,7,0,0.0,100.0,0,0.0,0,0,0,0.08443042210170201,0.2501649856567383,10,12
3,1775083143.8770206,1775083173.8770206,32,2,0,6,0,0,6,32,16,16,0.2,0.0,67.9,0.0,0.0,0.0,0.0,0.0,42335,7,0,0.0,100.0,0,0.0,0,0,0,0.10515494644641876,0.5134592056274414,11,21
4,1775083173.8770206,1775083203.8770206,36,5,0,6,0,0,6,36,10,26,0.2,0.0,84.76666666666667,0.0,0.0,0.0,0.0,0.0,48313,7,0,0.0,100.0,0,0.0,0,0,0,0.05874643325805664,0.2877833843231201,5,31
5,1775083203.8770206,1775083233.8770206,31,9,20,47,18,18,29,31,24,7,1.5666666666666667,51393.566666666666,376.23333333333335,3.7466385147788306,0.8552453517913818,10.174900710582733,11.127686192989348,0.9839279039827236,53377,0,0,321.4084985256195,73.21595845619836,24768,62.53361485221169,0,0,0,0.007647327014378139,0.08392977714538574,1,30
6,1775083233.8770206,1775083263.8770206,36,7,14,39,15,15,24,36,29,7,1.3,36721.2,363.1666666666667,4.418517127633095,3.6525334119796753,11.61589127779007,11.730604135990143,0.7683231618715489,61114,5,0,270.8579659461975,79.00325845378315,255104,55.81482872366905,0,0,0,0.03857741572640159,0.2870337963104248,1,35
7,1775083263.8770206,1775083293.8770206,35,9,16,45,16,16,29,35,28,7,1.5,44234.3,394.8333333333333,2.5925250754636875,0.6546862125396729,8.275888395309448,8.663299741744995,0.9728373618951126,66336,4,0,228.51219153404236,82.68847033833012,36032,74.07474924536312,0,0,0,0.020207219653659396,0.09137964248657227,8,27
8,1775083293.8770206,1775083323.8770206,44,5,1,13,0,0,13,44,22,22,0.43333333333333335,2582.633333333333,171.76666666666668,1.461578130722046,1.461578130722046,1.461578130722046,1.461578130722046,0.9958677685950413,75517,5,0,28.92999005317688,98.03197346577028,320,85.38421869277954,0,0,0,0.3071343682029031,3.990269660949707,3,41
9,1775083323.8770206,1775083353.8770206,41,13,18,48,21,21,27,41,24,17,1.6,58554.0,528.6,1.4632636256839917,0.833787202835083,7.327316808700553,7.926936202049255,0.9736487225279732,79611,5,0,263.05944895744324,83.76176241003436,46272,85.36736374316008,0,0,0,0.02497167057461209,0.35858678817749023,2,39
10,1775083353.8770206,1775083383.8770206,49,11,0,15,0,0,15,49,23,26,0.5,0.0,145.86666666666667,0.0,0.0,0.0,0.0,0.0,91149,6,0,0.0,100.0,0,0.0,0,0,0,0.060384698536085045,0.48970556259155273,7,42
